food,calories,protein,fat,carbs,fiber,sodium
oil,867.0,0.0,93.3,0.0,0.0,833.0
olive oil,900.0,0.0,100.0,0.0,0.0,2.0
sunflower oil,900.0,0.0,100.0,0.0,0.0,0.0
coconut oil,895.0,0.0,99.1,0.84,0.0,0.0
mustard oil,884.0,0.0,100.0,0.0,0.0,0.0
canola oil,900.0,0.0,100.0,0.0,0.0,0.0
vegetable oil,857.0,0.0,100.0,0.0,1.8,0.0
sesame oil,884.0,0.0,100.0,0.0,0.0,0.0
lentils,286.0,22.9,1.43,65.7,20.0,29.0
black beans,184.0,23.7,0.0,60.5,39.5,53.0
kidney beans,100.0,7.69,0.38,12.3,6.2,96.0
chickpeas,128.0,8.0,1.6,20.8,4.0,232.0
green gram,192.0,21.3,6.27,60.4,1.8,8.78
soybeans,192.0,3.525,1.85,12.5,1.8,48.0
tofu,192.0,3.525,1.85,12.5,1.8,48.0
tempeh,192.0,20.3,10.8,7.64,1.8,9.0
white beans,85.0,6.15,0.0,14.6,4.6,292.0
pigeon peas,110.0,8.0,1.85,16.0,5.0,28.0
navy beans,77.0,4.62,0.0,13.8,4.6,277.0
mung beans,340.0,24.0,1.0,62.0,16.0,20.0
split peas,61.0,3.55,0.7,10.59,3.8,244.0
almonds,633.0,23.3,56.7,13.3,10.0,367.0
peanut butter,598.0,22.21,51.36,22.31,5.0,426.0
peanuts,571.0,21.4,46.4,21.4,7.1,607.0
cashews,571.0,17.9,46.4,28.6,3.6,196.0
walnuts,656.0,15.6,65.6,12.5,6.2,0.0
hazelnuts,628.0,14.95,60.75,16.7,9.7,0.0
pistachios,536.0,17.9,42.9,28.6,10.7,571.0
sesame seeds,631.0,20.45,61.21,11.73,11.6,47.0
sunflower seeds,283.0,11.7,25.0,10.0,5.0,92.0
pumpkin seeds,600.0,23.3,46.7,13.3,3.3,17.0
chia seeds,486.0,16.54,30.74,42.12,34.4,16.0
flaxseeds,884.0,0.11,99.98,0.0,0.0,0.0
honey,1270.0,0.3,0.0,82.4,0.2,4.0
sugar,375.0,0.0,0.0,100.0,1.8,0.0
jaggery,375.0,0.0,0.0,100.0,1.8,250.0
molasses,290.0,0.0,0.1,74.73,0.0,37.0
maple syrup,333.0,0.0,0.0,86.7,1.8,2.0
jam,278.0,0.37,0.07,68.86,1.1,32.0
mayonnaise,750.0,0.0,75.0,0.0,0.0,667.0
ketchup,109.0,1.08,0.32,27.1,0.3,928.0
soy sauce,53.0,8.14,0.57,4.93,0.8,5493.0
mustard,69.0,4.25,3.38,5.3,4.3,1100.0
vinegar,21.0,0.0,0.0,0.93,0.0,5.0
barbecue sauce,172.0,0.82,0.63,40.77,0.9,1027.0
sriracha,321.0,14.3,21.4,17.9,0.0,750.0
hot sauce,192.0,0.0,0.0,0.0,0.0,5330.0
tamarind paste,239.0,2.8,0.6,62.5,5.1,28.0
garlic,167.0,0.0,0.0,33.3,1.8,0.0
ginger,192.0,0.0,0.0,0.0,1.8,0.0
turmeric,192.0,0.0,0.0,125.0,31.2,0.0
coriander powder,192.0,0.0,0.0,0.0,0.0,0.0
cumin,1570.0,17.8,22.3,44.2,10.5,168.0
mustard seeds,500.0,0.0,50.0,0.0,0.0,0.0
cardamom,192.0,0.0,0.0,0.0,1.8,0.0
cinnamon,192.0,0.0,0.0,0.0,1.8,0.0
clove,1140.0,5.97,13.0,65.5,33.9,277.0
black pepper,192.0,0.0,0.0,167.0,41.7,0.0
nutmeg,3700.0,0.0,100.0,0.0,0.0,0.0
fenugreek,323.0,23.0,6.41,58.4,24.6,67.0
fennel,62.0,1.42,3.22,8.32,3.5,202.0
bay leaf,192.0,0.0,0.0,0.0,1.8,0.0
chili powder,192.0,0.0,0.0,0.0,1.8,48.0
red chili,166.0,1.87,0.44,8.81,1.5,9.0
mint leaves,64.0,9.4,1.4,8.28,2.0,9.0
curry leaves,64.0,9.4,1.4,8.28,2.0,9.0
idli,128.0,6.36,0.35,24.98,5.8,252.0
dosa,184.0,5.46,4.27,30.8,2.2,330.0
samosa,310.0,5.14,17.47,33.16,1.8,388.0
puri,409.0,6.84,24.94,39.23,3.5,170.0
paratha,326.0,6.36,13.2,45.35,9.6,452.0
naan,239.0,8.85,0.88,46.0,1.8,425.0
biryani,109.0,1.93,3.2,17.91,1.2,177.0
dal,145.0,8.6,4.31,19.17,7.5,309.0
poha,53.0,1.9,0.7,11.2,1.8,48.0
upma,87.0,1.98,2.64,13.81,1.3,98.0
kheer,350.0,0.0,5.0,80.0,2.5,0.0
halwa,438.0,5.38,25.4,46.9,0.0,15.0
pakora,125.0,4.92,4.77,16.24,3.2,380.0
rajma,56.0,2.82,1.76,7.04,2.1,444.0
chole,108.0,4.62,2.69,16.9,4.6,315.0
roti,299.0,7.85,9.2,46.13,9.7,298.0
black coffee,192.0,0.0,0.0,0.0,0.0,0.0
coffee with milk,17.0,0.6,0.84,1.82,0.1,29.0
tea without milk,51.0,1.58,1.05,8.95,0.1,20.0
milk tea,51.0,1.58,1.05,8.95,0.1,20.0
orange juice,46.0,0.83,0.0,10.8,0.0,0.0
apple juice,50.0,0.0,0.0,12.5,1.8,12.0
soft drink,192.0,0.0,0.0,0.0,1.8,4.0
cola,42.0,0.0,0.0,10.5,1.8,20.0
energy drink,43.0,0.46,0.0,10.23,0.0,39.0
beer,43.0,0.46,0.0,3.55,0.0,4.0
red wine,85.0,0.07,0.0,2.61,0.0,4.0
